code_ies,name_ies,initials,county,state,academic_organization,category,url,nameserver,has_dnssec,dnssec_is_valid,algorithm_name,has_https,forced_redirect_to_https,https_redirect_to_same_domain,https_protocol_version_name,https_certificate_valid,https_certificate_version,issuer,subject,https_algorithm_name,https_key_size,https_start_certificate_validate,https_certificate_expiration,https_errors,X-Frame-Options,X-Content-Type-Options,X-XSS-Protection,public_key_type
2613,Centro Universitário Estácio Meta de Rio Branco Estácio (UNIMETA),UNIMETA,Rio Branco,AC,Centro Universitário,Privada,www.fameta.edu.br,ns-1267.awsdns-30.org.,False,False,,False,False,False,,False,,,,,0,,,[],,,,
2132,CENTRO UNIVERSITÁRIO UNINORTE,-,Rio Branco,AC,Centro Universitário,Privada,www.uninorteac.com.br,ns-1481.awsdns-57.org.,False,False,,True,True,False,TLSv1.2,True,v3,Go Daddy Secure Certificate Authority - G2,*.uninorteac.com.br,sha256,4096,2021-11-23 23:36:46,2022-10-22 20:52:23,[],,,,RSAPublicKey
2343,Centro Universitário U:VERSE,-,Rio Branco,AC,Centro Universitário,Privada,www.uverse.com.vc,,False,False,,True,False,False,TLSv1.3,True,v3,R3,*.uverse.com.vc,sha256,2048,2022-03-29 16:42:34,2022-06-27 16:42:33,[],,,,RSAPublicKey
2072,FACULDADE DE DESENVOLVIMENTO SUSTENTÁVEL DE CRUZEIRO DO SUL (IEVAL),IEVAL,Cruzeiro do Sul,AC,Faculdade,Privada,http://reges.com.br/ieval/,ns48.hostgator.com.br.,False,False,,True,False,False,TLSv1.3,False,v3,R3,www.trilhadabahia.reges.com.br,sha256,2048,2022-04-01 13:53:32,2022-06-30 13:53:31,['COMMON_NAME_INVALID'],,,,RSAPublicKey
4836,FACULDADE DE EDUCAÇÃO ACRIANA EUCLIDES DA CUNHA (INEC),INEC,Rio Branco,AC,Faculdade,Privada,www.euclidesdacunha.edu.br,ns1.bdm.microsoftonline.com.,False,False,,True,True,True,TLSv1.3,True,v3,R3,euclidesdacunha.edu.br,sha256,4096,2022-05-02 06:21:39,2022-07-31 06:21:38,[],,,,RSAPublicKey
3587,FACULDADE DIOCESANA SÃO JOSÉ (FADISI),FADISI,Rio Branco,AC,Faculdade,Privada,www.fadisi.com.br,ns2.locaweb.com.br.,False,False,,True,False,False,TLSv1.2,False,v3,AlphaSSL CA - SHA256 - G2,*.websiteseguro.com,sha256,2048,2022-03-22 15:43:48,2023-04-23 15:43:47,"['COMMON_NAME_INVALID', ""hostname 'www.fadisi.com.br' doesn't match either of '*.websiteseguro.com', 'websiteseguro.com'""]",,,,RSAPublicKey
15507,"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",IFAC,Rio Branco,AC,"Instituto Federal de Educação, Ciência e Tecnologia",Publica,www.ifac.edu.br,cachara.ifac.edu.br.,False,False,,False,False,False,,False,,,,,0,,,[],,,,
24547,ITPAC CRUZEIRO DO SUL (ITPAC - CZ),ITPAC - CZ,Cruzeiro do Sul,AC,Faculdade,Privada,https://cruzeirodosul.itpac.br,fiona.ns.cloudflare.com.,False,False,,True,False,False,TLSv1.3,False,v3,Cloudflare Inc ECC CA-3,sni.cloudflaressl.com,sha256,256,2022-02-26 00:00:00,2023-02-26 23:59:59,['COMMON_NAME_INVALID'],SAMEORIGIN,,,EllipticCurvePublicKey
3675,Sinal Faculdade de Ciências Humanas e Sociais (SINAL),SINAL,Rio Branco,AC,Faculdade,Privada,www.sinalfaculdade.com.br,ns1.locaweb.com.br.,False,False,,True,False,False,TLSv1.2,False,v3,AlphaSSL CA - SHA256 - G2,*.criadorlw.com.br,sha256,2048,2021-07-14 21:48:50,2022-08-15 21:48:50,"['COMMON_NAME_INVALID', ""hostname 'www.sinalfaculdade.com.br' doesn't match either of '*.criadorlw.com.br', 'criadorlw.com.br'""]",SAMEORIGIN,nosniff,1; mode=block,RSAPublicKey
18650,UNAMA FACULDADE DA AMAZÔNIA DE RIO BRANCO (FMN RIO BRANCO),FMN RIO BRANCO,Rio Branco,AC,Faculdade,Privada,www.mauriciodenassau.edu.br,dns2.mauriciodenassau.edu.br.,False,False,,True,False,False,TLSv1.3,False,v3,RapidSSL TLS DV RSA Mixed SHA256 2020 CA-1,*.mauriciodenassau.edu.br,sha256,2048,2021-03-02 00:00:00,2022-03-02 23:59:59,"['CERTIFICATE_EXPIRED', 'certificate has expired']",,,,RSAPublicKey
549,UNIVERSIDADE FEDERAL DO ACRE (UFAC),UFAC,Rio Branco,AC,Universidade,Publica,http://www.ufac.br,ns2.ufac.br.,False,False,,True,True,True,TLSv1.2,True,v3,R3,www.ufac.br,sha256,2048,2022-05-16 11:15:44,2022-08-14 11:15:43,[],"SAMEORIGIN, SAMEORIGIN",nosniff,1; mode=block,RSAPublicKey
25624,CEDDU - CENTRO DE ENSINO SUPERIOR (CEDDU),CEDDU,Cacimbinhas,AL,Faculdade,Privada,www.ceddu.com.br,ns258.hostgator.com.br.,False,False,,True,False,False,TLSv1.3,True,v3,R3,*.ceddu.com.br,sha256,2048,2022-05-24 21:42:28,2022-08-22 21:42:27,[],,,,RSAPublicKey
621,CENTRO UNIVERSITÁRIO CESMAC (CESMAC),CESMAC,Maceió,AL,Centro Universitário,Privada,www.cesmac.com.br,ns1.bdm.microsoftonline.com.,False,False,,False,False,False,,False,,,,,0,,,[],,,,
1965,Centro Universitário Mario Pontes Jucá (UMJ),UMJ,Maceió,AL,Centro Universitário,Privada,www.umj.edu.br,ns3.nameservers8.net.,False,False,,True,False,False,TLSv1.3,True,v3,R3,umj.edu.br,sha256,2048,2022-04-08 12:52:17,2022-07-07 12:52:16,[],,,,RSAPublicKey
1504,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ (UNINASSAUMACEI?),UNINASSAUMACEI?,Maceió,AL,Centro Universitário,Privada,www.uninassau.edu.br,dns2.mauriciodenassau.edu.br.,False,False,,True,True,True,TLSv1.3,True,v3,DigiCert SHA2 Secure Server CA,*.uninassau.edu.br,sha256,256,2021-10-13 00:00:00,2022-10-13 23:59:59,[],,nosniff,1; mode=block,EllipticCurvePublicKey
20494,Faculdade Autônoma do Brasil - Maceió (FBR Maceió),FBR Maceió,Maceió,AL,Faculdade,Privada,www.nossafaculdade.com.br,ns2.unifatec.com.br.,False,False,,True,True,True,TLSv1.3,True,v3,R3,*.nossafaculdade.com.br,sha256,2048,2022-04-08 14:43:21,2022-07-07 14:43:20,[],,,,RSAPublicKey
17226,Faculdade Cesmac do Agreste (CESMAC Agreste),CESMAC Agreste,Arapiraca,AL,Faculdade,Privada,www.cesmac.com.br,ns1.bdm.microsoftonline.com.,False,False,,False,False,False,,False,,,,,0,,,[],,,,
17224,Faculdade Cesmac do Sertão (CESMAC Sertão),CESMAC Sertão,Palmeira dos Índios,AL,Faculdade,Privada,www.cesmac.edu.br,ns1.bdm.microsoftonline.com.,False,False,,True,True,True,TLSv1.2,True,v3,GeoTrust RSA CA 2018,*.cesmac.edu.br,sha256,2048,2020-06-24 00:00:00,2022-07-22 12:00:00,[],,,,RSAPublicKey
1051,FACULDADE DA SEUNE (SEUNE),SEUNE,Maceió,AL,Faculdade,Privada,www.seune.edu.br,nspro37.hostgator.com.br.,False,False,,True,False,False,TLSv1.3,True,v3,R3,*.seune.edu.br,sha256,2048,2022-04-21 23:14:58,2022-07-20 23:14:57,[],,,,RSAPublicKey
